#	Latitude	Longitude	Occupancy
1	47,096511	37,553753	142,1
3	47,094867	37,530794	98,6
4	47,134121	37,561340	137,8
5	47,123021	37,683973	117,0
7	47,100112	37,536886	51,6
8	47,175113	37,694458	77,2
9	47,095202	37,526828	127,0
10	47,100820	37,643289	128,7
14	47,108357	37,657514	117,1
15	47,067355	37,485604	146,1
16	47,111092	37,552492	78,6
17	47,113332	37,577930	70,6
18	47,103096	37,520871	109,7
19	47,186687	37,513344	73,8
20	47,136565	37,578637	67,2
21	47,137126	37,600568	72,2
24	47,152145	37,604154	74,9
25	47,105069	37,515619	91,4
26	47,078071	37,510689	75,3
27	47,111034	37,519044	77,6
28	47,120827	37,566195	83,1
29	47,090517	37,515096	221,8
30	47,157088	37,626054	64,1
31	47,063019	37,503147	83,5
32	47,058146	37,497491	25,5
33	47,046218	37,485314	89,7
34	47,130214	37,551931	130,9
36	47,109804	37,561636	65,4
37	47,088318	37,556386	53,2
38	47,117349	37,540125	76,7
39	47,148655	37,631034	42,5
41	47,108279	37,671484	89,9
42	47,127913	37,557192	133,7
43	47,158723	37,578431	47,0
44	47,123676	37,591279	68,9
45	47,155984	37,591426	46,7
46	47,161272	37,491440	55,5
47	47,150329	37,611065	99,2
48	47,102151	37,669750	64,4
50	47,174120	37,575215	98,6
51	47,118968	37,641561	77,0
52	47,112292	37,520112	90,0
53	47,124370	37,517592	87,0
54	47,081800	37,516037	67,9
55	47,105386	37,633395	62,3
56	47,100072	37,627992	63,3
57	47,122162	37,674908	57,7
58	47,193988	37,727304	54,8
61	47,105214	37,647971	83,0
62	47,104354	37,648415	50,0
63	47,120103	37,521700	147,7
64	47,119679	37,519955	52,4
65	47,103334	37,545551	123,7
66	47,104337	37,553265	91,1
67	47,119215	37,510562	72,3
68	47,126745	37,682216	79,5
69	47,125729	37,689135	47,3
